time, cycle, y, x, tag
445199022,668451,13,27,cd6c0000
445199688,668452,8,25,c8640000
445200354,668453,13,22,cd580000
445201020,668454,14,20,ce500000
445201686,668455,11,23,cb5c0000
445202352,668456,13,20,cd500000
445203018,668457,15,17,cf440000
445207014,668463,13,18,cd480000
445207680,668464,10,25,ca640000
445208346,668465,12,24,cc600000
445213674,668473,11,20,cb500000
445214340,668474,12,22,cc580000
445215006,668475,11,31,cb7c0000
445217004,668478,11,21,cb540000
445220334,668483,8,28,c8700000
445221000,668484,14,17,ce440000
445222332,668486,13,17,cd440000
445223664,668488,15,31,cf7c0000
445226328,668492,11,16,cb400000
445227660,668494,15,20,cf500000
445228992,668496,15,24,cf600000
445229658,668497,13,23,cd5c0000
445231656,668500,15,28,cf700000
445232322,668501,8,23,c85c0000
445233654,668503,15,29,cf740000
445234986,668505,11,19,cb4c0000
445236318,668507,10,17,ca440000
445236984,668508,10,18,ca480000
445240980,668514,12,23,cc5c0000
445241646,668515,10,20,ca500000
445242312,668516,12,18,cc480000
445242978,668517,12,16,cc400000
445243644,668518,11,28,cb700000
445252968,668532,9,20,c9500000
445256298,668537,13,29,cd740000
445257630,668539,10,29,ca740000
445258962,668541,9,28,c9700000
445260960,668544,10,16,ca400000
445262292,668546,11,18,cb480000
445265622,668551,14,26,ce680000
445266954,668553,9,27,c96c0000
445267620,668554,12,28,cc700000
445272282,668561,14,23,ce5c0000
445276278,668567,11,17,cb440000
445276944,668568,12,26,cc680000
445277610,668569,15,27,cf6c0000
445278276,668570,14,30,ce780000
445278942,668571,14,25,ce640000
445279608,668572,9,22,c9580000
445281606,668575,8,18,c8480000
445284936,668580,13,24,cd600000
445286268,668582,13,28,cd700000
445286934,668583,10,28,ca700000
445288266,668585,10,21,ca540000
445290930,668589,9,31,c97c0000
445295592,668596,10,22,ca580000
445296258,668597,12,25,cc640000
445297590,668599,13,25,cd640000
445298256,668600,12,31,cc7c0000
445302918,668607,9,19,c94c0000
445305582,668611,15,22,cf580000
445306248,668612,12,29,cc740000
445306914,668613,9,26,c9680000
445309578,668617,11,26,cb680000
445312242,668621,14,28,ce700000
445314240,668624,11,29,cb740000
445314906,668625,9,18,c9480000
445315572,668626,13,30,cd780000
445316238,668627,14,18,ce480000
445316904,668628,15,16,cf400000
445323564,668638,8,24,c8600000
445324230,668639,14,27,ce6c0000
445324896,668640,8,29,c8740000
445328226,668645,9,21,c9540000
445328892,668646,13,31,cd7c0000
445329558,668647,13,19,cd4c0000
445334886,668655,10,30,ca780000
445337550,668659,11,24,cb600000
445344210,668669,14,19,ce4c0000
445346874,668673,8,19,c84c0000
445348206,668675,8,30,c8780000
445358862,668691,15,21,cf540000
445361526,668695,14,24,ce600000
445372182,668711,14,31,ce7c0000
445422798,668787,15,26,cf680000
